DAFTAR RISIKO,,,,,,,,,,,,,,,,,,,,
RUMAH SAKIT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
No,Kegiatan,Tujuan Kegiatan,Kode Risiko,Kategori Risiko,Ruang Lingkup,Pernyataan Risiko,Sebab,UC/C,Probality,Dampak,Pengendalian Yang Ada,,,Tingkat Risiko,Peringkat Risiko,Rencana Pengendalian,,Pemilik Risiko,PJ Tindak Lanjut,
325,Penerimaan pasien buka puasa,Perawat menginformasikan pergantian diet pasien puasa menjadi tidak puasa,,Operasional,Pasien,Karena petugas gizi tidak langsung mencatat perubahan diet pasien di dalam DPMP mungkin saja petugas gizi terlewat memberikan makan sehingga pasien telat mendapatkan pelayanan makan,Petugas gizi tidak langsung mencatat perubahan diet pasien di dalam DPMP,C,3,3,SPO penerimaan pasien buka puasa,Ada,Kurang Efektif,9,SEDANG,Briefing tim ahli gizi produksi,1x/ 3bulan,Ahli Gizi Produksi,Ka.Instalasi Gizi,Gizi
326,Pemorsian sampel,Mengambil sedikit bagian dari seluruh hidangan yang disajikan untuk disimpan 1 x 24 jam guna menyiapkan jika sewaktu waktu terjadi kejadian luar biasa,,Operasional,Pasien,Karena petugas tidak menyiapkan sampel makanan mungkin saja terjadi kejadian luar biasa di RS Azra terkait dengan makanan sehingga tidak terdapat sampel makanan yang dapat di uji di laboratorium,Petugas tidak menyiapkan sampel makanan,C,2,4,SPO pemorsian sampel,Ada,Efektif,8,SEDANG,Sosialisasi pentingnya pemorsian sampel,1x/ 3bulan,Penjamah makanan,Ka.Instalasi Gizi,Gizi
327,Pengolahan makanan,Mengolah bahan makanan mentah menjadi makanan matang,,Operasional,Nakes lain,Karena petugas pemasak tidak memperhatikan suhu dan waktu lama memasak mungkin saja makanan yang diolah tidak mencapai kematangan sempurna sehingga pasien komplain mendapatkan makanan yang tidak matang,Petugas pemasak tidak memperhatikan suhu dan waktu lama memasak,C,2,4,"SPO pengolahan makanan, termometer suhu untuk makanan",Ada,Efektif,8,SEDANG,Menyediakan termometer suhu makanan,Setiap hari,Petugas cook/pastry,Ka.Instalasi Gizi,Gizi
328,Penempelan label nama pasien,Memastikan makanan yang disiapkan sampai ke pasien yang tepat,,Operasional,Nakes lain,Karena petugas tidak tepat melakukan penempelan label nama pasien pada makanan pasien mungkin saja makanan tertukar sehingga pasien tidak mendapatkan makanan sesuai dengan terapi diet,Petugas tidak tepat melakukan penempelan label nama pasien pada makanan pasien,C,3,3,"DPMP, pengecekan 2x oleh ahli gizi",Ada,Efektif,9,SEDANG,Melakukan pengecekan berulang oleh ahli gizi produksi dan ahli gizi klinik,Setiap waktu makan,Petugas,Ka.Instalasi Gizi,Gizi
329,Identifikasi pasien sebelum flebotomi sesuai SOP,Untuk menghindari kesalahan identitas pasien,4,Kepatuhan,Pasien,"Karena tidak dilakukan identifikasi secara benar sebelum flebotomi,mungkin saja identitas pasien salah sehingga hasil laboratorium salah/tertukar",Tidak melakukan identifikasi degan benar,C,4,3,"Terdapat SPO identifikasi pasien sebelum flebotomi,Komunikasi efektif ke pasien",Ada,Efektif,12,Tinggi,Sosialisasi ulang SPO Identifikasi pasien sebelum flebotomi,Setiap ada case,Pasien,Kepala dan koordinator laboratorium,Laboratorium
330,Melakukan input pemeriksaan laboratorium ke sistem teramedik,untuk menginput pemeriksaan agar masuk ke sistem teramedik sehingga terbiling ke bagian kasir,2,Keuangan,Bisnis RS,"karena pemeriksaan laboratorium tidak terinput di sistem teramedik,mungkin saja pemeriksaan laboratorium tidak terbiling sehingga mengakibatkan kerugian rumah sakit",pemeriksaan laboratorium tidak terinput ke sistem teramedik,C,5,1,berkoordinasi dengan poliklinik terkait dan mencocokan degan formulir laboratorium,Ada,Efektif,5,SEDANG,berkoordinasi dengan poliklinikterkait/dokter DPJP,setiap ada case,Rumah sakit,"Kepala dan koordinator laboratorium,unit kasir",Laboratorium
331,Penggunaan APD,"Untuk meminimalkan penularan penyakit antara petugas,pasien dan lingkungan",4,Kepatuhan,Staf Medis,"karena petugas tidak menggunakan APD dengan benar, mungkin saja terjadi penularan penyakit dari pasien ke petugas dan lingkungan sekitarnya sehingga petugas terpapar penyakit",petugas tidak menggunakan APD,C,2,3,terdapat SPO penggunaan APD,Ada,Efektif,6,SEDANG,Sosiali ulang SPO penggunaan APD,Setiap ada case,Seluruh staf laboratorium,Kepala dan koordinator laboratorium,Laboratorium
332,Stok Opname,menghindari selisih stok sistem dan stok fisik,2,Keuangan,Bisnis RS,"karena tidak melakukan CIU alkes/barang pada sistem teramedik ,mungkin saja terjadi selisih pada saat stok opname sehingga menyebabkan kerugian rumah sakit",tidak dilakukan CIU,C,3,2,melakukan CIU seca rutin,Ada,Efektif,6,SEDANG,"melakukan CIU secara rutin, mengisi kartu stok",Setiap hari,Rumah sakit,"Kepala dan koordinator laboratorium, Unit Gudang",Laboratorium
333,Flebotomi vena kecil/tipis,untuk menghindari hematom/pecah pembuluh darah,4,Kepatuhan,Staf Medis,karena petugas kurang terampil saat flebotomi pada vena pasien kecil/tipis mungkin saja terjadi hematom/pecah pembuluh darah saat dilakukan flebotomi sehingga pasien kompalin,petugas kurang terampil,C,3,3,Melakukan pelatihan Flebotomi,Ada,Efektif,9,SEDANG,"melakukan pelatihan flebotomi setiap tahun,sosialisasi SPO pengambilan darah",trimester 3,Pasien,Kepala dan koordinator laboratorium,Laboratorium
334,Pembuangan limbah jarum/benda tajam,Menghindari terjadinya insiden tertusuk jarum/benda tajam,4,Kepatuhan,Staf Medis,Karena petugas membuang jarum suntik tidak pada safety box mungkin saja petugas tertusuk jarum suntik bekas pasien sehingga petugas tertular penyakit,membuang jarum suntik tidak pada safety box,C,2,4,terdapat SPo Penanganan sampah sesuai kategori,Ada,Efektif,8,SEDANG,Sosialisasi ulang SPO penanganan sampah sesuai kategori,Setiap ada case,Seluruh petugas laboratorium,Kepala dan koordinator laboratorium,Laboratorium
335,Sistem LIS mati/terganggu,Menghindari kesalahan input hasil di sistem LIS,8,Operasional,Staf Medis,Karena sistem LIS mati/terganggu mungkin saja hasil laboratorium di input di sistem secara manual sehingga persentase kesalahan penulisan hasil semakin besar,Sistem LIS mati/terganggu,C,4,4,Dilakukan validasi oleh orang yang berbeda,Ada,Efektif,16,SANGAT TINGGI,berkoordinasi dengan vendor LIS dan IT,setiap ada case,Pasien,"Kepala dan koordinator laboratorium, Unit SIRS",Laboratorium
336,Pelaporan nilai kritis,Agar pasien mendapatkan tindakan medis sesegera mungkin,4,Kepatuhan,Pasien,Karena nilai kritis tidak segera dilaporkan ( 30 menit) mungkin saja terjadi penundaan terapi pada pasien sehingga mengancam jiwa pasien,tidak terlapornya nilai kritis sesuai standar ( 30 menit),C,2,4,SPO pelaporan nilai kritis,Ada,Efektif,8,SEDANG,Sosialisasi ulang SPO pelaporan nilai kritis,setiap ada case,Pasien,Kepala dan koordinator laboratorium,Laboratorium
337,Kalibrasi alat,Memastikan alat berfungsi dengan baik,2,Operasional,Fasilitas,Karena alat laboratorium tidak dilakukan kalibrasi rutin setiap tahun mungkin saja hasil pemeriksaan tidak akurat sehingga terapi ke pasien kurang tepat,Kalibrasi alat tidak dilakukan rutin setiap tahun,C,2,4,terdapat spo pemeliharaan alat di laboratorium,Ada,Efektif,8,SEDANG,"Sosialisasi ulang SPO Pemeliharaan alat, berkoordinasi dengan vendor alat dan unit Pembelian",Setiap ada kalibrasi alat,Pasien,"Kepala dan koordinator laboratorium, unit pembelian",Laboratorium
338,Monitoring suhu kulkas reagen,Untuk menghindari terjadinya kerusakan reagen,2,Operasional,Fasilitas,Karena suhu kulkas tidak sesuai standar mungkin saja reagen rusak sehingga tidak bisa digunakan untuk pemeriksaan laboratorium,Suhu kulkas tidak sesuai standar,C,2,3,"SPO dokumentasi suhu ruang,suhu refrigenerator,suhu freezer laboratorium klinik",Ada,Efektif,6,SEDANG,"Sosialisasi SPO dokumentasi suhu ruang,suhu refrigenerator,suhu freezer laboratorium klinik",Setiap ada case,Rumah sakit,Kepala dan koordinator laboratorium,Laboratorium
339,Penyimpanan reagen B3,Untuk mencegah dampak negatif reagen B3 terhadap lingkungan sekitar dan kesehatan petugas laboratorium,4,Kepatuhan,Lingkungan,"karena reagen B3 tidak di simpan ditempat yang sesuai standar ,mungkin saja terjadi kebocoran reagen sehingga bisa menyebabkan ledakan/kebakaran",reagen B3 tidak disimpan di tempat yang sesuai standar,C,2,3,menyimpan di tempat yang sesuai standar dan di beri logo B3,Ada,Efektif,6,SEDANG,"Membuat SPO Penyimpanan bahan berbahaya dab beracun ( B3) di Laboratorium,berkoordinasi dengan K3",trimester 3,"seluruh staf laboratoriumj,rumah sakit",kepala dan koordinator laboratorium,Laboratorium
340,Lantai toilet licin,Menghindari resiko jatuh di toilet,8,Operasional,Fasilitas,Karena lantai toilet tidak dibersihkan secara rutin oleh CS mungkin saja lantai menjadi licin dan petugas/pasien terjatuh saat ke kamar mandi,Lantai toilet tidak dibersihkan secara rutin,C,2,3,dibersihkan oleh petugas CS,Ada,Efektif,6,SEDANG,Memonitoring kebersihan toilet,Setiap hari,Seluruh staf laboratorium dan pasien,Kepala dan koordinator laboratorium,Laboratorium
341,kroscek golongan darah,untuk menghindari kesalahan pemeriksaan golongan darah,4,Kepatuhan,Pasien,"karena tidak dilakukan krocek oleh analis yang berbeda ,mungkin saja terjadi kesalahan golongan darah sehingga pasien komplain",Tidak dilakukan kroscek oleh analis yang berbeda,C,2,4,SPO Pemeriksaan golongan darah,Ada,Efektif,8,SEDANG,Sosialisasi SPO pemeriksaan golongan darah,setiap ada case,Pasien,Kepala dan koordinator laboratorium,Laboratorium
342,Validasi hasil laboratorium,Menghindari kesalahan hasil laboratorium,4,Kepatuhan,Pasien,"karena tidak dilakukan otorise/validasi hasil oleh PJ shif/orang yang berbeda ,mungkin saja hasil pemeriksaan pasien salah sehingga tindakan ke pasien juga tidak tepat",tidak dilakukan otorise/validasi hasil oleh PJ shif/orang yang berbeda,C,3,4,SPO Pengeluaran hasil laboratorium,Ada,Efektif,12,TINGGI,SosialisasiSPO Pengeluaran hasil laboratorium,setiap ada case,pasien,Kepala dan koordinator laboratorium,Laboratorium
343,Adanya smoke detector,Untuk menghindari kebakaran,8,Operasional,Lingkungan,Karena di ruangan laboratorium tidak mempunyai smoke detector mungkin saja tidak ada peringatan dini saat terdapat asap sehingga terjadi kebakaran,tidak ada smoke detector,UC,2,2,Memberi tanda logo barang mudah terbakar,Ada,Efektif,4,RENDAH,Permintaan smoke detector,setiap ada case,Rumah sakit,Kepala dan koordinator laboratorium,Laboratorium
344,homogenisasi sampel darah,menghindari terjadinya bekuan pada sampel darah,4,Kepatuhan,Pasien,"karena sampel darah tidak dilakukan homogenisasi secara sempurna,mungkin saja terdapat bekuan pada sampel darah sehingga hasil pemeriksaan laboratorium tidak sesuai klinis",homegenisasi sampel tidak sempurna,C,3,3,"SPO pengambilan darah/flebotomi, komunikasi efektif kepada pasien untuk diambil darah ulang",Ada,Efektif,9,SEDANG,"Sosialisasi PO pengambilan darah/flebotomi, komunikasi efektif kepada pasien untuk diambil darah ulang",setiap ada case,pasien,Kepala dan koordinator laboratorium,Laboratorium
345,Monitoring reagen,Menghindari kekosongan reagen,4,Kepatuhan,Fasilitas,"karena tidak dilakukan monitoring reagen sesuai ketentuan, mungkin saja terjadi kekosongan reagen sehingga terjadi penundaan/pembatalan pemeriksaan",tidak dilakukan monitoring reagen,C,2,3,SPO monitoring reagen,Ada,Efektif,6,SEDANG,Sosialisasi ulang SPO monitoring reagen,setiap ada case,Rumah sakit,Kepala dan koordinator laboratorium,Laboratorium
346,Flebotomi pasien anak,Menghindari kegagalan samplimg,2,Operasional,Pasien,Karena pasien tidak kooperatif waktu diambil darah mungkin saja terjadi kegagalan saat pengambilan darah sehingga pasien ditususk berulang/kompalin,pasien tidak kooperatif,UC,3,4,Momunikasi efektif,Ada,Kurang Efektif,12,TINGGI,Komunikasi efektif,setiap ada case,pasien,Kepala dan koordinator laboratorium,Laboratorium
347,konfirmasi permintaan pemeriksaan radiologi pasien rawat jalan,Agar administrasi pasien masuk ke sistem pembayaran,,Kepatuhan,Bisnis RS,Karena tidak melakukan konfirmasi permintaan pemeriksaan radiologi pasien rawat jalan mungkin saja data pasien tidak masuk ke sistem pembayaran sehingga pasien tidak ada penagihan pembayaran pemeriksaan radiologi,Tidak melakukan konfirmasi permintaan pemeriksaan radiologi,C,3,3,SPO,Ada,Efektif,9,SEDANG,petugas melakukan konfirmasi permintaan radiologi sebelum pasien di rontgen,setiap ada inputan masuk pada sistem billing teramedika,Koordiator radiologi,koordinator radiologi,Radiologi
348,Proses identifikasi pasien pada saat permintaan radiologi diterima oleh instalasi radiologi,Untuk mengidentifikasi jenis pemeriksaan,,Kepatuhan,Nakes lain,karena kesalahan input jenis pemeriksaan mungkin saja akan ada kesalahan pemeriksaan rontgen sehingga terjadi kesalahan rontgen dan diagnosa,kesalahan input jenis pemeriksaan,C,4,3,SPO,Ada,Efektif,12,TINGGI,petugas melakukan konfirmasi kepada pasien antara keluhan pasien dengan inputan di sitem,setiap ada inputan masuk pada sistem billing teramedika,Koordiator radiologi,koordinator radiologi,Radiologi
349,Proses edukasi pasien tentang persiapan pemeriksaan radiologi dengan perjanjian dan kontras,agar pasien teredukasi dengan pemeriksaan yang akan dilakukan,,Kepatuhan,Nakes lain,Karena pasien tidak di edukasi tentang persiapan pemeriksaan radiologi mungkin saja akan terjadi kesalahan informasi sehingga dapat terjadi kesalahan prosedur pemeriksaan,pasien tidak di edukasi tentang persiapan pasien pemeriksaan radiologi,C,4,3,SPO,Ada,Efektif,12,TINGGI,petugas radiologi selalu memberikan informasi baik lisan maupun tertulis terkait persiapan pemeriksaan,semua pasien radiologi,koordiator radiologi,koordinator radiologi,Radiologi
350,tindakan persiapan pasien sebelum dilakukan pemeriksaan radiologi dengan kontras,memastikan pasien tidak ada kontra indikasi terhadap pemberian zat kontras,,Kepatuhan,Nakes lain,karena pasien tidak dilakukan persiapan sebelum dilakukan pemeriksaan radiologi dengan kontras mungkin saja akan terjadi efek dari pemberian kontras sehingga mengakibatkan pasien allergi,Pasien tidak dilakukan persiapan sebelum dilakukan pemeriksaan radiologi dengan kontras,C,3,3,SPO,Ada,Efektif,9,SEDANG,melakukan skrining dan memastikan pasien tidak ada allergi dengan kontras yang digunakan,semua pasien radiologi yang dikerjakan dengan kontras,koordiator radiologi,koordinator radiologi,Radiologi
351,tidak melakukan pengulangan pemeriksaan,agar pasien tidak terpapar radiasi yang berlebih,,Kepatuhan,Nakes lain,karena melakukan pengecekan kembali posisi pasien sebelum di rontgen mungkin saja akan mengurangi pengulangan pemeriksaan sehingga pasien tidak terpapar radiasi berlebih,Pengecekan kembali posisi pasien sebelum di rontgen,C,3,3,SPO,Ada,Efektif,9,SEDANG,memahami anatomi dari organ yang akan di rontgen,semua pasien radiologi,koordiator radiologi,koordinator radiologi,Radiologi
352,Pemberian marker,agar tidak terjadi kesalahan analisa,,Kepatuhan,Nakes lain,karena memberi marker sebelum proses editing film selesai mungkin saja akan mengurangi kesalahan analisa sehingga tidak mengakibatkan salah analisa,memberikan marker sebelum proses editing film selesai,C,4,3,SPO,Ada,Efektif,12,TINGGI,melakukan sosialisasi saat GKM untuk melakukan pengecekan sebelum film di print,semua pasien radiologi,koordiator radiologi,koordinator radiologi,Radiologi
353,menyalin hasil baca,agar tidak terjadi kesalahan saat menyalin hasil baca dokter radiologi,,Kepatuhan,Nakes lain,"karena melakukan pengecekan kembali nama, usia, tanggal lahir dan nomor RM saat menyalin hasil baca dokter radiologi mungkin saja tidak terjadi kesalahan menyalin dengan nama pasien yang lain sehingga tidak tertukar hasil baca rontgen pasien yang satu dengan pasien lainnya","pengecekan kembali nama, usia, tanggal lahir dan nomor RM saat menyalin hasil baca dokter radiologi",C,3,3,SPO,Ada,Efektif,9,SEDANG,melakukan sosialisasi saat GKM untuk lebih teliti saat menyalin hasil baca dokter,semua pasien radiologi yang terekspertise,koordiator radiologi,koordinator radiologi,Radiologi
354,memasukan hasil ke dalam amplop radiologii,agar tidak ada tertukar hasil pasien yang satu dengan pasien yang lain,,Kepatuhan,Nakes lain,"Karena mengecek kembali nama di film, expertise dan stiker pada amplop hasil mungkin saja hasil tidak akan tertukar dengan pasien yang lain sehingga tidak menyebabkan insiden salah hasil","Pengecekan kembali nama di film, expertise dan stiker pada amplop",C,3,3,SPO,Ada,Efektif,9,SEDANG,melakukan sosialisasi saat GKM untuk lebih teliti saat memasukan hasil ke dalam amplop,semua pasien radiologi,koordiator radiologi,koordinator radiologi,Radiologi
355,Penyerahan hasil radiologi,agar tidak tertkar saat penyerahan hasil,,Kepatuhan,Nakes lain,"karena mengecek kembali nama di film, expertise dan stiker pada amplop hasil mungkin saja tidak akan tertukar dengan pasien yang lain sehingga tidak menyebabkan insiden salah hasil","Pengecekan kembali nama di film, expertise dan stiker pada amplop",C,3,3,SPO,Ada,Efektif,9,SEDANG,melakukan sosialisasi saat GKM untuk lebih teliti saat menyerahkan hasil ke pasien,semua pasien radiologi,koordiator radiologi,koordinator radiologi,Radiologi
356,Pengecekan Fungsi alat sebelum pelayanan ke pasien,Agar mengetahui alat berfungsi dengan baik sebelum pelayanan ke pasien,,Kepatuhan,Nakes lain,karena melakukan pengecekan fungsi alat sebelum pelayanan ke pasien mungkin saja fungsi alat dapat terkontrol sehingga tidak menghambat pelayanan kepada pasein,mengecek fungsi alat sebelum pelayanan ke pasien,C,4,3,SPO,Ada,Efektif,12,TINGGI,melakukan sosialisasi untuk melakukan pengecekan alat sebelum shift pagi mulai bekerja,setiap pagi sebelum memulai pelayanan,koordiator radiologi,koordinator radiologi,Radiologi
357,Melakukan follow up ke dokter radiologi untuk melakukan pembacaan hasil rontgen,agar waktu tunggu hasil rontgen terutama rontgen thorax bisa sesuai dengan peratuan yang ada,,Kepatuhan,Nakes lain,"karena melakukan follow up ke dokter radiologi, mungkin saja dokter radiologi bisa cepat melakukan pembacaan, sehingga waktu tunggu hasil rontgen thorax bisa sesuai dengan peraturan yang ada",melakukan follow up ke dokter radiologi,C,3,4,regulasi,Ada,Kurang Efektif,12,TINGGI,melakukan follow up,setiap saat jika dokter radiologi tidak merespon konsulan foto,koordiator radiologi,koordinator radiologi,Radiologi
358,mengurus perizinan alat radiologi,agar legalitas alat-alat radiologi tetap terdokumentasi,,Kepatuhan,Bisnis RS,"karena pengurusan izin alat radiologi, mungkin saja legalitas alat-alat radiologi tetap terdokumentasi, sehingga pelayanan radiologi tetap bisa berjalan",Mengurus perizinan,C,2,2,regulasi,Ada,Efektif,4,RENDAH,melakukukan pengurusan perizinan alat radiologi,6 bulan sebelum batas waktu berakhir izin BAPETEN,koordiator radiologi,koordinator radiologi / PPR,Radiologi
359,Pembuatan informed consent untuk pasien dengan rencana pemeriksaan radiologi dengan tindakan invasif pemberian kontras,Semua tindakan berisiko diawali dengan proses informed consent,,Kepatuhan,Staf Medis,"Karena proses informed consent tidak terisi dengan lengkap , mungkin saja pemeriksaan radiologi dengan tindakan invasif pemberian kontras terjadi masalah saat tindakan sehingga pasien mengajukan komplain kepada RS",Petugas lupa melakukan proses informed consent,C,3,3,SPO,Ada,Efektif,9,SEDANG,Melakukan sosialisasi terkait SPO Persetujuan atau Penolakan Tindkaan Medis (Informed Consent),semua pasien radiologi yang dikerjakan dengan kontras,koordiator radiologi,koordinator radiologi,Radiologi
